他感冒了。	tā gǎnmào le	He caught a cold.
布已经打成包。	bù yǐjīng dǎ chéng bāo	The cloth was packed in bales.
迟到总比不到好。	chídào zǒng bǐ bùdào hǎo	Better late than never.
我知道那种感觉。	wǒ zhīdào nàzhǒng gǎnjué	I know the feeling.
她有着细长的腿。	tā yǒuzhe xìcháng de tuǐ	She has long thin shanks.
农作物需要雨水。	nóngzuòwù xūyào Yǔshuǐ	The crops need rain.
你只是说说而已。	nǐ zhǐshì shuōshuō'éryǐ	You are just saying that.
向你全家问好。	xiàng nǐ quánjiā wènhǎo	Remember me to your family.
这是常有的事。	zhè shì cháng yǒude shì	These things happen all the time.
大家别同时说.	dàjiā bié tóngshí shuō	Don't all speak at the same time.
有了它真是方便。	yǒule tā zhēnshi fāngbiàn	It really comes in handy.
我很想吃饺子。	wǒ hěn xiǎng chī jiǎozi	I feel like having some dumplings.
我明天晚上来.	wǒ míngtiān wǎnshang lái	I'll come round tomorrow evening.
他发烧满脸通红.	tā fāshāo mǎnliǎn tōnghóng	Fever flushed his cheeks.
我非常感谢您。	wǒ fēichánggǎnxiè nín	I'm extremely grateful to you.
我在街上遇到他。	wǒ zài jiēshang yùdào tā	I met him in the street.
你应该去看医生。	nǐ yīnggāi qù kàn yīshēng	You should see a doctor.
这星期他会很忙。	zhè xīngqī tā huì hěn máng	He is very busy this week.
我们喝了一些鸡汤。	wǒmen hē le yīxiē jītāng	We had some chicken soup.
他是一个高大的男孩。	tā shì yī gè gāodà de nánhái	He is a tall boy.
五加三的总和是八。	wǔ jiā sān de zǒnghé shì bā	The sum of 5 and 3 is 8.
我的数学不太好。	wǒ de shùxué bùtàihǎo	I am not good at mathematics.
他极为大家所爱戴。	tā jíwéi dàjiā suǒ àidài	He is held in affection.
那部影片很叫座。	nà bù yǐngpiàn hěn jiào zuò	That film was a great draw.
他的物理学得很好。	tā de wùlǐxué dehěn hǎo	He does well in physics.
我的表慢五分钟。	wǒ de biǎo màn wǔ fēnzhōng	My watch is five minutes slow.
好像要下雨了。	hǎoxiàng yào xiàyǔ le	It looks as if it is going to rain.
我教她骑自行车。	wǒ jiāo tā qí zìxíngchē	I taught her to ride a bicycle.
我不知道该怎么办。	wǒ bù zhīdào gāi zěnmebàn	I have no idea what to do.
那孩子将满六岁了。	nà háizi jiāng mǎn liù suì le	The child will be six.
这只是时间问题。	zhè zhǐshì shíjiān wèntí	It's only a matter of time.
我认为我考得不错.	wǒ rènwéi wǒ kǎo dé bùcuò	I think I did OK in the exam.
这孩子身上发烧.	zhè háizi shēnshang fāshāo	The child's body felt feverish.
她是工业设计师。	tā shì gōngyèshèjì shī	She is an industrial designer.
我们必须重新开始。	wǒmen bìxū chóngxīnkāishǐ	We must make a new start.
我们确信能胜利。	wǒmen quèxìn néng shènglì	We are confident of victory.
她总穿着黑衣服。	tā zǒng chuānzhuó hēi yīfu	She always dresses in black.
她一大早就起床了。	tā yīdàzǎo jiù qǐchuáng le	She rose with the lark.
我和她长谈了一次。	wǒ hé tā chángtán le yīcì	I had a long talk with her.
三的立方是二十七。	sān de lìfāng shì èrshí qī	Three cubed is twenty-seven.
我今天的心情不好。	wǒ jīntiān de xīnqíng bùhǎo	I'm feeling blue today.
我将等到四点钟。	wǒ jiāng děngdào sì diǎnzhōng	I'll wait till four o'clock.
你把帽子戴反了。	nǐ bǎ màozi dài fǎn le	You have put your hat on backwards.
不会发很多时间的。	bùhuì fā hěn duō shíjiān de	It won't take much time.
我很愿意。谢谢你。	wǒ hěn yuànyì xièxie nǐ	I do very much. Thank you.
你说的话没有道理.	nǐ shuō dehuà méiyǒu dàoli	What you say makes no sense.
她喜欢各种运动。	tā xǐhuan gèzhǒng yùndòng	She likes all kinds of sports.
她从不穿绿色的衣服。	tā cóngbù chuān lǜsè de yīfu	She never wears green.
向你的孩子们问好。	xiàng nǐ de háizimen wènhǎo	Give my love to your kids.
那顿饭简直好极了。	nà dùn fàn jiǎnzhí hǎo jíle	That meal was simply divine!
马在路上小跑着。	mǎ zài lùshang xiǎo pǎo zhe	The horse trotted down the road.
我看到他就高兴。	wǒ kàn dào tā jiù gāoxìng	I never see him but I am happy.
他有早起的习惯。	tā yǒu zǎoqǐ de xíguàn	He is in the habit of rising early.
很高兴再次见到你。	hěn gāoxìng zàicì jiàndào nǐ	I'm glad to see you again.
这完全是你的过错。	zhè wánquán shì nǐ de guòcuò	It's your fault entirely.
认识从实践开始。	rènshi cóng shíjiàn kāishǐ	Knowledge begin with practice.
这对我没什么差别。	zhè duì wǒ méishénme chābié	It makes no difference to me.
老人快步走开了。	lǎorén kuàibù zǒukāi le	The old man set off at a quick trot.
他的病让我急死了。	tā de bìng ràng wǒ jí sǐ le	I'm worried sick by his illness.
新年期间我去看你.	xīnnián qījiān wǒ qù kàn nǐ	I'll see you in the new year.
她一直想成名。	tā yīzhí xiǎng chéngmíng	She has always been desirous of fame.
我不明白你的意思。	wǒ bù míngbai nǐ de yìsi	I can't apprehend your meaning.
只剩下一听肉了。	zhǐ shèngxià yī tīng ròu le	There is only one can of meat left.
医生一会儿就到。	yīshēng yīhuìr jiù dào	The doctor will be here presently.
我的手表走时准确。	wǒ de shǒubiǎo zǒu shí zhǔnquè	My watch keeps good time.
我跳舞一点儿也不行。	wǒ tiàowǔ yīdiǎnr yě bùxíng	I'm no good at dancing.
我们游遍全国各地.	wǒmen yóu biàn quánguógèdì	We travelled all over the country.
这听上去挺不错的。	zhè tīng shàngqù tǐng bùcuò de	It sounds quite all right.
我知道发生了什么事。	wǒ zhīdào fāshēng le shénmeshì	I know what happened.
我的日语相当差。	wǒ de Rìyǔ xiāngdāng chà	My knowledge of Japanese is rather poor.
我想预定一个房间。	wǒ xiǎng yùdìng yī gè fángjiān	I want to reserve a room.
她把头发拍整齐了.	tā bǎ tóufa pāi zhěngqí le	She patted her hair into place/shape.
他是一个数学天才。	tā shì yī gè shùxué tiāncái	He is a mathematical genius.
我最近没有看到他。	wǒ zuìjìn méiyǒu kàn dào tā	I haven't seen him recently.
要么进来，要么出去。	yàome jìnlái yàome chūqù	Either come in or go out.
从前有一个公主.	cóngqián yǒu yī gè gōngzhǔ	Once upon a time there was a princess.
我只想说对不起。	wǒ zhǐ xiǎng shuō duìbuqǐ	I want to say nothing but sorry.
男孩很快地跑上楼。	nánhái hěn kuài dì pǎo shànglóu	The boy ran upstairs quickly.
我解答不了这个难题。	wǒ jiědá bùliǎo zhège nántí	I can't solve the problem.
她在一所中学学习。	tā zài yī suǒ zhōngxué xuéxí	She studies in a high school.
发言共占去三小时.	fāyán gòng zhàn qù sān xiǎoshí	The speeches occupied three hours.
我的头发长得很长了。	wǒ de tóufa zhǎngde hěn cháng le	My hair has grown very long.
这些药对你有好处。	zhèxiē yào duì nǐ yǒuhǎochù	This medicine will do you good.
这次考试比较容易。	zhè cì kǎoshì bǐjiào róngyì	The exam was relatively easy.
这是一个寒冷的早晨。	zhè shì yī gè hánlěng de zǎochén	It's a chilly morning.
四月是种树的时候。	Sìyuè shì zhòngshù de shíhou	April is the time to plant trees.
教堂在学校附近。	jiàotáng zài xuéxiào fùjìn	The church is close to the school.
今天暖和一点儿了.	jīntiān nuǎnhuo yīdiǎnr le	The weather is a bit warmer today.
星期日是我休息的日子。	Xīngqīrì shì wǒ xiūxi de rìzi	Sunday is my rest day.
那条河长300公里。	nà tiáo hé cháng gōnglǐ	The river is 300 kilometers in length.
嗯，但是你必须等我。	èn dànshì nǐ bìxū děng wǒ	Mmm, but you must wait for me.
我母亲已经五十岁了。	wǒ mǔqīn yǐjīng wǔshí suì le	My mother is fifty years old.
我想买一个新床单。	wǒ xiǎng mǎi yī gè xīn chuángdān	I want to buy a new bed linen.
房间里挤满了客人。	fángjiān lǐ jǐmǎn le kèrén	The room was crowded with guests.
他提出了一种新理论。	tā tíchū le yīzhǒng xīn lǐlùn	He put forward a new theory.
我不知道确切的日子。	wǒ bù zhīdào quèqiè de rìzi	I don't know the exact date.
我有一辆红色的自行车。	wǒ yǒu yī liàng hóngsè de zìxíngchē	I have a red bike.
日本在中国的东面。	Rìběn zài Zhōngguó de dōngmiàn	Japan lies to the east of China.
他假装没有听见我。	tā jiǎzhuāng méiyǒu tīngjiàn wǒ	He affected not to hear me.
那儿有些彩色的气球。	nàr yǒuxiē cǎisè de qìqiú	There are some color balloons.
我的爱人很会做饭。	wǒ de àiren hěn huì zuòfàn	My wife is very useful at cooking.
她正找电灯开关。	tā zhèng zhǎo diàndēng kāiguān	She is fumbling the light switch.
没有人想碰到麻烦。	méiyǒu rén xiǎng pèngdào máfan	No one liked to have trouble.
他了解人民的意向。	tā liǎojiě rénmín de yìxiàng	He knew the pulse of the people.
直到他来我才离开。	zhídào tā lái wǒ cái líkāi	It was not until he came that I left.
我深爱我的祖国。	wǒ shēn'ài wǒ de zǔguó	I love my country with every fiber of my being.
我儿子上小学三年级.	wǒ érzi shàng xiǎoxué sān niánjí	My son's in the third grade.
她的故事使我很感动。	tā de gùshi shǐ wǒ hěn gǎndòng	I was very moved by her story.
他能跑得和我一样快。	tā néng pǎo dé hé wǒ yīyàng kuài	He can run as fast as I can.
那位技师技术很好。	nà wèi jìshī jìshù hěn hǎo	That technician is highly skilled.
现代的人想法不同。	xiàndài de rén xiǎngfǎ bùtóng	People today think differently.
他在一所中学工作。	tā zài yī suǒ zhōngxué gōngzuò	He works in a secondary school.
这大概正是我要做的。	zhè dàgài zhèngshì wǒ yào zuò de	Maybe that's what I'll do.
当我像你这样年纪时...	dāng wǒ xiàng nǐ zhèyàng niánjì shí	When I was your age...
他们正在准备考试。	tāmen zhèngzài zhǔnbèi kǎoshì	They were girding for the exam.
门一开, 她走了进来。	mén yī kāi tā zǒu le jìnlái	The door opened and she came in.
我十二点出去吃午饭。	wǒ shí'èr diǎn chūqù chī wǔfàn	I go out for lunch at twelve.
我必须立刻开始工作。	wǒ bìxū lìkè kāishǐ gōngzuò	I must start working at once.
他的痛苦现在已经过去。	tā de tòngkǔ xiànzài yǐjīng guòqu	His pain is past now.
他只是一个三岁的孩子。	tā zhǐshì yī gè sān suì de háizi	He is only a child of three.
我正准备打电话给你。	wǒ zhèng zhǔnbèi dǎdiànhuà gěi nǐ	I was just about to call you.
我累得再也走不动了。	wǒ lèi dé zàiyě zǒu bùdòng le	I was too tired to walk any further.
我昨天买了好几本书。	wǒ zuótiān mǎi le hǎojǐ běn shū	I bought several books yesterday.
一小时之内我就会到。	yī xiǎoshí zhīnèi wǒ jiù huì dào	I'll be coming within an hour.
那事已提前安排好了。	nà shì yǐ tíqián ānpái hǎole	It had been arranged beforehand.
晚饭时他吃了一些米饭。	wǎnfàn shí tā chī le yīxiē mǐfàn	He had some rice for supper.
今天看上去是个晴天。	jīntiān kànshangqu shì gè qíngtiān	Looks like a fine day today.
每个人都是注定要死的。	měigerén dōu shì zhùdìng yàosǐ de	Everyone is doomed to die.
吃饭前，我必须洗手。	chīfàn qián wǒ bìxū xǐshǒu	I must wash my hands before dinner.
在这河里游泳危险。	zài zhè hé lǐ yóuyǒng wēixiǎn	This river is dangerous to bathe in.
我确实很好，谢谢您。	wǒ quèshí hěn hǎo xièxie nín	I'm very well indeed, thank you.
代我向你们全家问好。	dài wǒ xiàng nǐmen quánjiā wènhǎo	Give my best to your family.
春雨带来了夏日百花。	chūnyǔ dàilái le xiàrì bǎi huā	Spring rains bring summer flowers.
这是本有教育意义的书。	zhè shì běn yǒu jiàoyù yìyì de shū	This is an instructive book.
孩子们喜欢户外活动。	háizimen xǐhuan hùwài huódòng	Children like outdoor activities.
许多灯照亮了街道。	xǔduō dēng zhàoliàng le jiēdào	The street is illumined by many lights.
你说的有几分是真实的。	nǐ shuō de yǒu jǐfēn shì zhēnshí de	What you say is partly true.
不要把过去的事都翻出来。	bùyào bǎ guòqu de shì dōu fān chūlái	Don't rake up the past.
她会说日语和英语。	tā huì shuō Rìyǔ hé Yīngyǔ	She can speak Japanese as well as English.
他到十一点才回家。	tā dào shí yīdiǎn cái huíjiā	Not until eleven o'clock did he come home.
那男孩忽然哭了起来。	nà nánhái hūrán kū le qilai	The boy began crying all of a sudden.
我们正向家的方向走去。	wǒmen zhèng xiàng jiāde fāngxiàng zǒuqù	We are heading home.
她离开一个多钟头了.	tā líkāi yī gè duō zhōngtóu le	She left little more than an hour ago.
他是一个体育运动爱好者。	tā shì yī gè tǐyùyùndòng àihàozhě	He is a sports buff.
气候影响了他的健康。	qìhòu yǐngxiǎng le tā de jiànkāng	The climate affected his health.
我喜欢在图书馆学习。	wǒ xǐhuan zài túshūguǎn xuéxí	I like to study in the library.
你完全误解了我的意思。	nǐ wánquán wùjiě le wǒ de yìsi	You mistook my meaning entirely.
在那个班里我跟不上。	zài nàge bān lǐ wǒ gēnbushàng	I was out of my depth in that class.
我的钟一定是坏了。	wǒ de zhōng yīdìng shì huài le	There must be something wrong with my clock.
天有点阴，可能下雨。	tiān yǒudiǎn yīn kěnéng xiàyǔ	It's a bit overcast; it might rain.
我已经校对完二十页了。	wǒ yǐjīng jiàoduì wán èrshí yè le	I have proofread twenty pages.
她是饭店的女服务员。	tā shì fàndiàn de nǚ fúwùyuán	She is a waitress in a restaurant.
再见了，很高兴见到你。	zàijiàn le hěn gāoxìng jiàndào nǐ	Good-bye. Nice seeing you.
事故发生在六点钟。	shìgù fāshēng zài liù diǎnzhōng	The accident happened at six o'clock.
他们六时来的, 九时走的.	tāmen liù shí lái de jiǔ shí zǒu de	They came at six and went at nine.
我们说服她参加了宴会。	wǒmen shuōfú tā cānjiā le yànhuì	We argued her into joining us.
我不知道该从哪里着手。	wǒ bù zhīdào gāi cóng nǎlǐ zhuóshǒu	I don't know where to begin.
这是为了对她自己有好处。	zhè shì wèile duì tā zìjǐ yǒuhǎochù	It is for her own good.
他住在学校的宿舍里。	tā zhù zài xuéxiào de sùshè lǐ	He hangs out in the school dormitory.
我的新家在第十六层。	wǒ de xīn jiā zài dì shíliù céng	My new house is on the sixteenth floor.
这座桥现在可以通行。	zhè zuò qiáo xiànzài kěyǐ tōngxíng	The bridge is now open to traffic.
他一句中文都不会说。	tā yījù Zhōngwén dōu bùhuì shuō	He couldn't talk a word of Chinese.
她把我介绍给她的朋友。	tā bǎ wǒ jièshào gěi tā de péngyou	She introduced me to her friend.
口语体口语化或口语用法	kǒuyǔ tǐ kǒuyǔ huà huò kǒuyǔ yòngfǎ	Colloquial style or quality.
我很少听见他讲汉语。	wǒ hěn shǎo tīngjiàn tā jiǎng Hànyǔ	I seldom hear he speaks Chinese.
我只懂得一点法语。	wǒ zhǐ dǒngde yīdiǎn Fǎyǔ	I have only a limited understanding of French.
他笑着告诉我这个消息。	tā xiào zhe gàosu wǒ zhège xiāoxi	He told me the news with a laugh.
马车夫的工作非常辛苦。	mǎchē fū de gōngzuò fēicháng xīnkǔ	Wagoner's work is very hard.
她提出把汽车借给我用。	tā tíchū bǎ qìchē jiègěi wǒ yòng	She offered me the loan of her car.
我们在图书馆外边见面.	wǒmen zài túshūguǎn wàibian jiànmiàn	Let's meet outside the library.
你和你姐姐都这么说。	nǐ hé nǐ jiějie dōu zhème shuō	You and your sister said so yourselves.
他说服女儿改变主意.	tā shuōfú nǚ'ér gǎibiàn zhǔyi	He persuaded his daughter to change her mind.
这棵苹果树很少结果。	zhè kē píngguǒ shù hěn shǎo jiéguǒ	The apple tree is seldom fruitful.
他欢喜得说不出来。	tā huānxǐ dé shuōbuchū lái	In the fullness of his joy, he could hardly speak.
她将我介绍给她的父母。	tā jiāng wǒ jièshào gěi tā de fùmǔ	She introduced me to her parents.
我们都关心她的健康。	wǒmen dōu guānxīn tā de jiànkāng	We are all concerned about her health.
已经出现了一些问题.	yǐjīng chūxiàn le yīxiē wèntí	A number of (ie some) problems have arisen.
那个学生昨天丢了书。	nàge xuésheng zuótiān diū le shū	That student lost his book yesterday.
当父母可是件辛苦的事。	dāng fùmǔ kěshì jiàn xīnkǔ de shì	Being a parent can be hard work.
他去邮局买些邮票。	tā qù yóujú mǎi xiē yóupiào	He went to the post-office to buy some stamps.
书页因年久而变黄。	shūyè yīn nián jiǔ ér biàn huáng	The leaves of the book had yellowed with age.
领导做了英明的决定。	lǐngdǎo zuò le yīngmíng de juédìng	The leader made a sagacious decision.
让我们友好地谈话。	ràng wǒmen yǒuhǎo dì tánhuà	Let's keep the conversation on a friendly plane.
星期日是一周的第一天。	Xīngqīrì shì yīzhōu de dìyī tiān	Sunday is the first day of the week.
他的意见没多少影响。	tā de yìjiàn méi duōshao yǐngxiǎng	His opinion doesn't carry much weight.
你双手手指的总数是10。	nǐ shuāngshǒu shǒuzhǐ de zǒngshù shì	The number of your finger is ten.
只要天一放晴,我们就去。	zhǐyào tiān yī fàng qíng wǒmen jiù qù	If only it clears up, we'll go.
全校在大礼堂集合.	quán jiào zài dà lǐtáng jíhé	The whole school (was) assembled in the main hall.
他住在一个舒适的小屋里。	tā zhù zài yī gè shūshì de xiǎowū lǐ	He lives in a cosy little room.
他给她叫了一辆出租汽车。	tā gěi tā jiào le yī liàng chūzūqìchē	He called her a taxi.
请原谅我的字写得不好。	qǐng yuánliàng wǒ de zì xiě dé bùhǎo	Please excuse my bad handwriting.
他胜过他班中的同学。	tā shèngguò tā bān zhòngdì tóngxué	He got the better of his classmates.
如果天气好，当然可以。	rúguǒ tiānqì hǎo dāngrán kěyǐ	Certainly, if the weather is fine.
两把椅子坐起来都不舒服。	liǎng bǎ yǐzi zuò qilai dōu bùshūfu	Neither chair is comfortable.
你我都不会说汉语.	nǐwǒ dōu bùhuì shuō Hànyǔ	You're no more capable of speaking Chinese than I am.
云是天空中的水汽团。	yún shì tiānkōng zhòngdì shuǐqì tuán	A cloud is a mass of vapor in the sky.
这二人一见钟情。	zhè èr rén yījiànzhōngqíng	The two fell in love with each other at the first sight.
我们今年取得了大丰收。	wǒmen jīnnián qǔdé le Dàfēng shōu	We have a plenteous harvest this year.
他们都往同一方向走了.	tāmen dōu wǎng tóngyī fāngxiàng zǒu le	They all went off in one direction.
还好我们没有跟着他。	háihǎo wǒmen méiyǒu gēnzhe tā	It is just as well that we did not follow him.
他们一步不停地走了过去。	tāmen yī bù bùtíng dì zǒu le guòqu	They walked past without stopping
以前在那里有一个邮局。	yǐqián zài nàli yǒu yī gè yóujú	There used to be a post office there.
他想出了一个极好的主意。	tā xiǎngchū le yī gè jíhǎo de zhǔyi	He worked out an excellent idea.
上星期天我十点钟起床。	shàng Xīngqītiān wǒ shí diǎnzhōng qǐchuáng	I got up at ten last Sunday.
中国是一个发展中国家。	Zhōngguó shì yī gè fāzhǎnzhōngguójiā	China is a developing country.
我中午通常只吃点心.	wǒ zhōngwǔ tōngcháng zhǐ chī diǎnxin	Usually I only have a snack at lunchtime.
黑板在教室的前面。	hēibǎn zài jiàoshì de qiánmiàn	The blackboard is in the front of the classroom.
他是世界上最富有的人。	tā shì shìjiè shàng zuì fù yǒude rén	He is the richest man in the world.
不休息我们就走不动了。	bù xiūxi wǒmen jiù zǒu bùdòng le	We can't go any farther without a rest.
每个母亲都爱她的孩子。	měi gè mǔqīn dōu ài tā de háizi	Every mother has affection for her children.
他不该做那事是有必要的。	tā bùgāi zuò nà shì shì yǒu bìyào de	It is important that he not do it.
这次迟到不是我们的错。	zhè cì chídào bùshì wǒmen de cuò	It was not our fault that we were late.
我们明天将一起吃午饭。	wǒmen míngtiān jiāng yīqǐ chī wǔfàn	We will eat lunch together tomorrow.
对不起，我忘了你的名字。	wǒmen míngtiān jiāng yīqǐ chī wǔfàn	I'm sorry; I've forgotten your name.
请医生开点咳嗽药.	qǐng yīshēng kāi diǎn késou yào	Ask the doctor to prescribe something for that cough.
她走进内室去换衣服。	tā zǒujìn nèishì qù huàn yīfu	She went into the inner room to change her dress.
我们深深感谢你的支持。	wǒmen shēnshēn gǎnxiè nǐ de zhīchí	We are deeply grateful for your support.
他没有努力工作的动力。	tā méiyǒu nǔlì gōngzuò de dònglì	He hasn't much incentive to work hard.
这些苹果不熟，是酸的。	zhèxiē píngguǒ bù shú shì suān de	These apples are not ripe; they are sour.
她穿着一件深蓝色的上衣。	tā chuānzhuó yī jiàn shēn lánsè de shàngyī	She wore a dark blue coat.
丰年时人人都吃得饱。	fēngnián shí rénrén dōu chī dé bǎo	In years of plenty everyone has plenty to eat.
他向我提了一些很好的意见。	tā xiàng wǒ tí le yīxiē hěn hǎo de yìjiàn	He gave me some good advice.
你应该好好利用这个机会。	nǐ yīnggāi hǎohǎo lìyòng zhège jīhuì	You should take advantage of it.
我们想去参加化装舞会。	wǒmen xiǎng qù cānjiā huàzhuāng wǔhuì	We want to join in the masquerade.
休息一下对你会有好处的。	xiūxi yīxià duì nǐ huì yǒuhǎochù de	It'll do you good to have a rest.
你的雨衣系上带子更好看.	nǐ de yǔyī jìshang dàizi gèng hǎokàn	Your mackintosh looks better belted.
别客气，我又不是外人。	biékèqi wǒ yòu bùshì wàirén	Don't stand on ceremony. I'm no stranger.
她一点儿也不像那么大年纪.	tā yīdiǎnr yě bù xiàng nàme dà niánjì	She doesn't look her age at all.
他们拿那位老人开玩笑。	tāmen ná nà wèi lǎorén kāiwánxiào	They are making fun of the old man.
我们必须提高生产水平。	wǒmen bìxū tígāo shēngchǎn shuǐpíng	We must increase production levels.
他坐在风口上，着凉了。	tā zuò zài fēngkǒu shàng zháoliáng le	He sat in a draught and catch a cold.
晚课后，男孩子们去睡了。	wǎn kè hòu nánháizi men qù shuì le	The boys went to sleep after vespers.
每个学生发了一本课本。	měi gè xuésheng fā le yī běn kèběn	Each student was issued with a textbook.
要是我再有一次机会就好了。	yàoshi wǒ zài yǒuyīcì jīhuì jiù hǎole	If only I had another chance.
这种菜好吃不好做.	zhèzhǒng cài hǎochī bùhǎo zuò	This dish is delicious but rather a trouble to prepare.
他洗澡时想出了这个主意。	tā xǐzǎo shí xiǎngchū le zhège zhǔyi	The idea came to him in his bath.
他们之间的交易告吹了。	tāmen zhījiān de jiāoyì gào chuīle	The transaction between them was dismissed.
他用一把刀子将苹果切开。	tā yòng yī bǎ dāozi jiāng píngguǒ qiē kāi	He cleaved an apple with a knife.
我没有注意到他已经走了。	wǒ méiyǒu zhùyì dào tā yǐjīng zǒu le	I failed to note that he had left.
孩子们假装开商店玩儿.	háizimen jiǎzhuāng kāi shāngdiàn wánr	The children were playing at keeping shop.
我们在旁边的地里放羊。	wǒmen zài pángbiān de dì lǐ fàngyáng	We are grazing the sheep in the next field.
那些男孩子们渴望下课。	nàxiē nánháizi men kěwàng xiàkè	The boys were itching for the lesson to end.
夏天他总是高高兴兴的。	xiàtiān tā zǒngshì gāogāoxìngxìng de	He's always full of cheer in summer.
我们一星期三节化学课。	wǒmen yī Xīngqīsān jié huàxué kè	We have three periods of chemistry a week.
你不是支持我就是反对我。	nǐ bùshì zhīchí wǒ jiùshì fǎnduì wǒ	You are either with me or against me.
他想当医生或者经商.	tā xiǎng dāng yīshēng huòzhě jīngshāng	He wants to be a doctor or go into business.
门口有个男人要求见你。	ménkǒu yǒu gè nánrén yāoqiú jiàn nǐ	Some man at the door is asking to see you.
他觉得他们和他地位相等。	tā juéde tāmen hé tā dìwèi xiāngděng	He feels that they are his equals.
今年的开始将会更好。	jīnnián de kāishǐ jiānghuì gèng hǎo	The commencement of this year will be better.
他们决定开办一家合作社。	tāmen juédìng kāibàn yījiā hézuòshè	They decided to set up a cooperative.
